iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AUS,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_20yr,5449372.523,tonnes,annual,2023-10-03 21:12:43.263183,
AUT,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2,2348108.826,tonnes,annual,2023-10-03 21:12:43.26372,
AUT,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,ch4,107.6517213,tonnes,annual,2023-10-03 21:12:43.263729,
AUT,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,n2o,20.55786587,tonnes,annual,2023-10-03 21:12:43.263737,
AUT,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_100yr,2371790.434,tonnes,annual,2023-10-03 21:12:43.263746,
AUT,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_20yr,2372018.646,tonnes,annual,2023-10-03 21:12:43.263753,
AZE,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2,1157375.907,tonnes,annual,2023-10-03 21:12:43.26431,
AZE,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,ch4,53.06121553,tonnes,annual,2023-10-03 21:12:43.26432,
AZE,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,n2o,10.13291138,tonnes,annual,2023-10-03 21:12:43.264327,
AZE,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_100yr,1169048.501,tonnes,annual,2023-10-03 21:12:43.264335,
AZE,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_20yr,1169160.986,tonnes,annual,2023-10-03 21:12:43.264342,
BDI,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2,,tonnes,annual,2023-10-03 21:12:43.264885,
BDI,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,ch4,,tonnes,annual,2023-10-03 21:12:43.264896,
BDI,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,n2o,,tonnes,annual,2023-10-03 21:12:43.264905,
BDI,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_100yr,,tonnes,annual,2023-10-03 21:12:43.264914,
BDI,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_20yr,,tonnes,annual,2023-10-03 21:12:43.264923,
BEL,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2,6880415.261,tonnes,annual,2023-10-03 21:12:43.265469,
BEL,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,ch4,356.7417478,tonnes,annual,2023-10-03 21:12:43.265479,
BEL,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,n2o,67.09665654,tonnes,annual,2023-10-03 21:12:43.265486,
BEL,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_100yr,6958750.48,tonnes,annual,2023-10-03 21:12:43.265495,
BEL,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_20yr,6958811.812,tonnes,annual,2023-10-03 21:12:43.265502,
BEN,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2,,tonnes,annual,2023-10-03 21:12:43.266055,
BEN,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,ch4,,tonnes,annual,2023-10-03 21:12:43.266067,
BEN,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,n2o,,tonnes,annual,2023-10-03 21:12:43.266075,
BEN,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_100yr,,tonnes,annual,2023-10-03 21:12:43.266085,
BEN,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_20yr,,tonnes,annual,2023-10-03 21:12:43.266093,
BES,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2,,tonnes,annual,2023-10-03 21:12:43.26663,
BES,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,ch4,,tonnes,annual,2023-10-03 21:12:43.266642,
BES,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,n2o,,tonnes,annual,2023-10-03 21:12:43.26665,
BES,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_100yr,,tonnes,annual,2023-10-03 21:12:43.26666,
BES,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_20yr,,tonnes,annual,2023-10-03 21:12:43.266669,
BFA,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2,,tonnes,annual,2023-10-03 21:12:43.267235,
BFA,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,ch4,,tonnes,annual,2023-10-03 21:12:43.267247,
BFA,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,n2o,,tonnes,annual,2023-10-03 21:12:43.267255,
BFA,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_100yr,,tonnes,annual,2023-10-03 21:12:43.267265,
BFA,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_20yr,,tonnes,annual,2023-10-03 21:12:43.267274,
BGD,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2,402281.8251,tonnes,annual,2023-10-03 21:12:43.26783,
BGD,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,ch4,32.70554711,tonnes,annual,2023-10-03 21:12:43.26784,
BGD,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,n2o,4.538465036,tonnes,annual,2023-10-03 21:12:43.267847,
BGD,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_100yr,408939.1934,tonnes,annual,2023-10-03 21:12:43.267855,
BGD,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_20yr,408942.1844,tonnes,annual,2023-10-03 21:12:43.267863,
BGR,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2,1432699.031,tonnes,annual,2023-10-03 21:12:43.268409,
BGR,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,ch4,71.68927067,tonnes,annual,2023-10-03 21:12:43.268419,
BGR,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,n2o,14.05051744,tonnes,annual,2023-10-03 21:12:43.268426,
BGR,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_100yr,1448627.605,tonnes,annual,2023-10-03 21:12:43.268434,
BGR,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2e_20yr,1448640.869,tonnes,annual,2023-10-03 21:12:43.268441,
BHR,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,co2,3951882.29,tonnes,annual,2023-10-03 21:12:43.268988,
BHR,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,ch4,181.1785408,tonnes,annual,2023-10-03 21:12:43.268998,
BHR,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-refining,n2o,34.59902077,tonnes,annual,2023-10-03 21:12:43.269006,
