iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
USA,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,1410970430.8359394,tonnes,annual,2023-10-10 22:40:44.425231,2023-11-02 20:46:28.407892
CIV,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2,668091.4580191555,tonnes,annual,2023-10-10 22:40:44.437112,2023-11-02 20:46:28.407892
USA,2015-01-01 00:00:00,2015-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_100yr,838575277.5449874,tonnes,annual,2023-10-10 22:40:44.425222,2023-11-09 22:35:18.479222
CIV,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,30947.48066032516,tonnes,annual,2023-10-10 22:40:44.437139,2023-11-02 20:46:28.407892
CIV,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,3221258.6124959807,tonnes,annual,2023-10-10 22:40:44.437168,2023-11-02 20:46:28.407892
CMR,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2,3639212.584029965,tonnes,annual,2023-10-10 22:40:44.437803,2023-11-02 20:46:28.407892
CMR,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,117551.98911226528,tonnes,annual,2023-10-10 22:40:44.437813,2023-11-02 20:46:28.407892
CMR,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,13337251.685791848,tonnes,annual,2023-10-10 22:40:44.437843,2023-11-02 20:46:28.407892
GBR,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2,20993217.818716355,tonnes,annual,2023-10-10 22:40:44.446522,2023-11-02 20:46:28.407892
GBR,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,398072.5139942225,tonnes,annual,2023-10-10 22:40:44.446532,2023-11-02 20:46:28.407892
GBR,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,53834200.223239705,tonnes,annual,2023-10-10 22:40:44.446561,2023-11-02 20:46:28.407892
RUS,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,co2,807009394.4047831,tonnes,annual,2023-10-10 22:40:44.468683,2023-11-02 20:46:28.467769
RUS,2016-01-01 00:00:00,2016-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,16098541.66970994,tonnes,annual,2023-10-10 22:40:44.468694,2023-11-02 20:46:28.467769
RUS,2018-01-01 00:00:00,2018-12-31 00:00:00,oil-and-gas-production-and-transport,co2,827284564.4820907,tonnes,annual,2023-10-10 22:40:44.577229,2023-11-02 20:46:28.592861
RUS,2018-01-01 00:00:00,2018-12-31 00:00:00,oil-and-gas-production-and-transport,ch4,17095245.111964203,tonnes,annual,2023-10-10 22:40:44.57724,2023-11-02 20:46:28.592861
RUS,2018-01-01 00:00:00,2018-12-31 00:00:00,oil-and-gas-production-and-transport,co2e_20yr,2237642286.2191377,tonnes,annual,2023-10-10 22:40:44.57727,2023-11-02 20:46:28.592861
USA,2018-01-01 00:00:00,2018-12-31 00:00:00,oil-and-gas-production-and-transport,co2,592898303.9777342,tonnes,annual,2023-10-10 22:40:44.58579,2023-11-02 20:46:28.592861
